dataset,network,batch_size,optimizer,power_limit,time_per_epoch,average_power
movielens-1m,ncf,64,adam,225,467.71999999999997,34.559338867057605
movielens-1m,ncf,64,adam,250,455.61,34.74071242956093
movielens-1m,ncf,8,adam,125,3717.1,35.06382793378764
movielens-1m,ncf,8,adam,150,3531.3050000000003,35.073134729897596
movielens-1m,ncf,8,adam,175,3810.275,35.02116704343413
movielens-1m,ncf,8,adam,200,3689.69,34.941275173088506
movielens-1m,ncf,8,adam,225,3680.885,35.10870534148724
movielens-1m,ncf,8,adam,250,3662.22,34.95155176841386
movielens-1m,ncf,8192,adam,125,14.034,33.55360597648763
movielens-1m,ncf,8192,adam,150,14.954000000000002,33.60629542141556
movielens-1m,ncf,8192,adam,175,15.983,33.30098339904704
movielens-1m,ncf,8192,adam,200,14.253,33.77606358530951
movielens-1m,ncf,8192,adam,225,14.318000000000001,33.616148755986345
movielens-1m,ncf,8192,adam,250,15.818999999999999,33.45321179800626
squad,bert_base_uncased,12,adamw,125,3306.5200000000004,115.63038436205257
squad,bert_base_uncased,12,adamw,150,3079.9049999999997,135.2759332906934
squad,bert_base_uncased,12,adamw,175,2898.4,154.060269151158
squad,bert_base_uncased,12,adamw,200,2861.4750000000004,168.89563951179622
squad,bert_base_uncased,12,adamw,225,2869.475,173.24621329367608
squad,bert_base_uncased,12,adamw,250,2888.6800000000003,172.82820498303016
squad,bert_base_uncased,16,adamw,125,3386.805,116.57171372608073
squad,bert_base_uncased,16,adamw,150,3132.83,135.38347338402235
squad,bert_base_uncased,16,adamw,175,2969.905,155.72341506306955
squad,bert_base_uncased,16,adamw,200,2919.65,170.59515245470914
squad,bert_base_uncased,16,adamw,225,2887.615,178.14265986471702
squad,bert_base_uncased,16,adamw,250,2921.45,174.32797486399804
squad,bert_base_uncased,24,adamw,125,3472.39,117.37351710483979
squad,bert_base_uncased,24,adamw,150,3249.715,134.84571923800627
squad,bert_base_uncased,24,adamw,175,3052.79,157.37232612683735
squad,bert_base_uncased,24,adamw,200,2966.4799999999996,171.4135373317347
squad,bert_base_uncased,24,adamw,225,2950.475,180.08916459828103
squad,bert_base_uncased,24,adamw,250,2952.215,178.65008958438858
squad,bert_base_uncased,4,adamw,125,3113.7299999999996,114.050042006106
squad,bert_base_uncased,4,adamw,150,2943.5950000000003,133.2024753511125
squad,bert_base_uncased,4,adamw,175,2826.11,148.57505992966856
squad,bert_base_uncased,4,adamw,200,2807.675,163.59211908834172
squad,bert_base_uncased,4,adamw,225,2803.3999999999996,168.8477366649142
squad,bert_base_uncased,4,adamw,250,2804.6549999999997,166.38243094761592
squad,bert_base_uncased,8,adamw,125,3178.36,116.7272697657978
squad,bert_base_uncased,8,adamw,150,2987.27,134.61223905623925
squad,bert_base_uncased,8,adamw,175,2840.705,152.59829354232966
squad,bert_base_uncased,8,adamw,200,2801.2,163.8537337349287
squad,bert_base_uncased,8,adamw,225,2787.6,176.85712042565095
squad,bert_base_uncased,8,adamw,250,2791.79,176.51114704180748
sentiment140,bert_base_uncased,16,adamw,125,8896.90779588,117.13392538972016
sentiment140,bert_base_uncased,16,adamw,150,8466.827318220001,137.12219168560932
sentiment140,bert_base_uncased,16,adamw,175,8415.295758420001,152.87694120570413
sentiment140,bert_base_uncased,16,adamw,200,8385.5610882,157.19517608806578
sentiment140,bert_base_uncased,16,adamw,225,8382.5204061,164.67841933064477
sentiment140,bert_base_uncased,16,adamw,250,8395.579335540002,163.48358808194345
sentiment140,bert_base_uncased,32,adamw,125,8011.173103740001,117.8733601725644
sentiment140,bert_base_uncased,32,adamw,150,7619.021134380001,136.1883964535333
sentiment140,bert_base_uncased,32,adamw,175,7290.627467580001,154.6701795052853
sentiment140,bert_base_uncased,32,adamw,200,7235.383074900001,173.53434992791907
sentiment140,bert_base_uncased,32,adamw,225,7223.316368040001,174.28616466410392
sentiment140,bert_base_uncased,32,adamw,250,7246.105480200001,173.59396955992352
sentiment140,bert_base_uncased,64,adamw,125,8102.5536026400005,117.29674999987824
sentiment140,bert_base_uncased,64,adamw,150,7674.553591680001,136.70469753918147
sentiment140,bert_base_uncased,64,adamw,175,7393.722594360001,153.6013474495022
sentiment140,bert_base_uncased,64,adamw,200,7314.216759240001,166.97425118822903
sentiment140,bert_base_uncased,64,adamw,225,7322.410597319999,167.3220376019104
sentiment140,bert_base_uncased,64,adamw,250,7270.334915460001,168.3606492140337
sentiment140,bert_base_uncased,8,adamw,125,11668.66556952,114.48592281640616
sentiment140,bert_base_uncased,8,adamw,150,10528.121717400001,134.3506020888916
sentiment140,bert_base_uncased,8,adamw,175,10971.037074240001,142.03790934905012
sentiment140,bert_base_uncased,8,adamw,200,11616.17379432,144.7205672613046
sentiment140,bert_base_uncased,8,adamw,225,10692.51059388,146.00240708814746
sentiment140,bert_base_uncased,8,adamw,250,11034.347276280001,142.36507051681454
