dataset,network,batch_size,optimizer,learning_rate,run,target_metric,target_epoch
cifar100,shufflenetv2,128,adadelta,1e-1,1,0.9,nan
cifar100,shufflenetv2,128,adadelta,1e-1,1,0.95,nan
cifar100,shufflenetv2,128,adadelta,1e-1,2,0.05,1
cifar100,shufflenetv2,128,adadelta,1e-1,2,0.1,1
cifar100,shufflenetv2,128,adadelta,1e-1,2,0.15,2
cifar100,shufflenetv2,128,adadelta,1e-1,2,0.2,2
cifar100,shufflenetv2,128,adadelta,1e-1,2,0.25,3
cifar100,shufflenetv2,128,adadelta,1e-1,2,0.3,4
cifar100,shufflenetv2,128,adadelta,1e-1,2,0.35,5
cifar100,shufflenetv2,128,adadelta,1e-1,2,0.4,5
cifar100,shufflenetv2,128,adadelta,1e-1,2,0.45,7
cifar100,shufflenetv2,128,adadelta,1e-1,2,0.5,9
cifar100,shufflenetv2,128,adadelta,1e-1,2,0.55,13
cifar100,shufflenetv2,128,adadelta,1e-1,2,0.6,22
cifar100,shufflenetv2,128,adadelta,1e-1,2,0.65,75
cifar100,shufflenetv2,128,adadelta,1e-1,2,0.7,nan
cifar100,shufflenetv2,128,adadelta,1e-1,2,0.75,nan
cifar100,shufflenetv2,128,adadelta,1e-1,2,0.8,nan
cifar100,shufflenetv2,128,adadelta,1e-1,2,0.85,nan
cifar100,shufflenetv2,128,adadelta,1e-1,2,0.9,nan
cifar100,shufflenetv2,128,adadelta,1e-1,2,0.95,nan
cifar100,shufflenetv2,128,adadelta,1e-1,3,0.05,1
cifar100,shufflenetv2,128,adadelta,1e-1,3,0.1,2
cifar100,shufflenetv2,128,adadelta,1e-1,3,0.15,2
cifar100,shufflenetv2,128,adadelta,1e-1,3,0.2,2
cifar100,shufflenetv2,128,adadelta,1e-1,3,0.25,3
cifar100,shufflenetv2,128,adadelta,1e-1,3,0.3,4
cifar100,shufflenetv2,128,adadelta,1e-1,3,0.35,5
cifar100,shufflenetv2,128,adadelta,1e-1,3,0.4,6
cifar100,shufflenetv2,128,adadelta,1e-1,3,0.45,7
cifar100,shufflenetv2,128,adadelta,1e-1,3,0.5,10
cifar100,shufflenetv2,128,adadelta,1e-1,3,0.55,14
cifar100,shufflenetv2,128,adadelta,1e-1,3,0.6,19
cifar100,shufflenetv2,128,adadelta,1e-1,3,0.65,82
cifar100,shufflenetv2,128,adadelta,1e-1,3,0.7,nan
cifar100,shufflenetv2,128,adadelta,1e-1,3,0.75,nan
cifar100,shufflenetv2,128,adadelta,1e-1,3,0.8,nan
cifar100,shufflenetv2,128,adadelta,1e-1,3,0.85,nan
cifar100,shufflenetv2,128,adadelta,1e-1,3,0.9,nan
cifar100,shufflenetv2,128,adadelta,1e-1,3,0.95,nan
cifar100,shufflenetv2,128,adadelta,1e-1,4,0.05,1
cifar100,shufflenetv2,128,adadelta,1e-1,4,0.1,1
cifar100,shufflenetv2,128,adadelta,1e-1,4,0.15,2
cifar100,shufflenetv2,128,adadelta,1e-1,4,0.2,3
