dataset,network,batch_size,optimizer,power_limit,time_per_epoch,average_power
imagenet,resnet50,32,adadelta,150,4635.006666666667,146.8643170362737
imagenet,resnet50,32,adadelta,175,4411.19,165.48918056824945
imagenet,resnet50,32,adadelta,200,4248.6466666666665,187.99529104057595
imagenet,resnet50,32,adadelta,225,4125.169999999999,211.65841450021628
imagenet,resnet50,32,adadelta,250,4051.0,227.36445681523898
imagenet,resnet50,360,adadelta,100,6822.446666666667,98.7091856798462
imagenet,resnet50,360,adadelta,125,5145.336666666666,119.75868072081697
imagenet,resnet50,360,adadelta,150,4179.753333333333,143.7646626417981
imagenet,resnet50,360,adadelta,175,3851.4666666666667,165.18778932599957
imagenet,resnet50,360,adadelta,200,3705.616666666667,181.53240946578637
imagenet,resnet50,360,adadelta,225,3582.42,202.79205059786074
imagenet,resnet50,360,adadelta,250,3519.4966666666674,217.5367687690208
imagenet,resnet50,64,adadelta,100,6691.4766666666665,98.59096940110506
imagenet,resnet50,64,adadelta,125,5188.196666666667,121.54105443974616
imagenet,resnet50,64,adadelta,150,4359.3966666666665,145.91565972278718
imagenet,resnet50,64,adadelta,175,4113.57,164.38230817288914
imagenet,resnet50,64,adadelta,200,3937.103333333333,185.56371213042112
imagenet,resnet50,64,adadelta,225,3836.65,207.16212746456966
imagenet,resnet50,64,adadelta,250,3754.3233333333333,222.8975265151672
imagenet,resnet50,8,adadelta,100,8184.28,98.93375617343656
imagenet,resnet50,8,adadelta,125,6862.170000000001,123.29628490113662
imagenet,resnet50,8,adadelta,150,6519.216666666666,140.65196400833005
imagenet,resnet50,8,adadelta,175,6278.683333333333,164.05256353723405
imagenet,resnet50,8,adadelta,200,5987.926666666666,187.81462206781822
imagenet,resnet50,8,adadelta,225,5906.45,208.48679797616666
imagenet,resnet50,8,adadelta,250,5892.9800000000005,220.66608560384415
librispeech,deepspeech2,12,adamw,100,12004.5,95.07037758109186
librispeech,deepspeech2,12,adamw,125,11196.210000000001,112.7456737301697
librispeech,deepspeech2,12,adamw,150,10659.65,131.96852329878908
librispeech,deepspeech2,12,adamw,175,10380.429999999998,149.1019209963746
librispeech,deepspeech2,12,adamw,200,10153.53,163.2373045787378
librispeech,deepspeech2,12,adamw,225,10085.650000000001,162.5510402572386
librispeech,deepspeech2,12,adamw,250,10059.13,170.67898929563674
librispeech,deepspeech2,128,adamw,100,8032.49,99.1077206409708
librispeech,deepspeech2,128,adamw,125,6929.62,112.76954332799332
librispeech,deepspeech2,128,adamw,150,6400.61,124.77662137638764
